r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.2126732961,0.2145127449,0.2222428399,0.1940400361,0.243559137,0.2260022151
50%,0.2204652898,0.2360692979,0.209344783,0.244997769,0.2419784703,0.1960452008
25%,0.2072002871,0.2399454704,0.2240902348,0.2269929077,0.2503941423,0.2336073166
10%,0.2154034031,0.2533176113,0.2447958497,0.233773373,0.2484640654,0.2295935582
5%,0.2321118532,0.2452867451,0.2642301151,0.2691861845,0.2568986955,0.2427109525
