r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0452299309,0.0460157177,0.0493918799,0.0376515356,0.0593210532,0.0510770012
50%,0.048604944,0.0557287134,0.0438252382,0.0600239068,0.0585535801,0.0384337208
25%,0.042931959,0.0575738288,0.0502164333,0.0515257801,0.0626972265,0.0545723784
10%,0.046398626,0.0641698122,0.0599250081,0.0546499899,0.0617343918,0.0527132020
5%,0.0538759124,0.0601655873,0.0698175537,0.0724612019,0.0659969397,0.0589086065
