Feature,Importance
IND_avg,0.12120747490933059
IND_sd,0.11805143956693734
INF_avg,0.10475454571297259
INF_sd,0.09568703610264424
INC_r1,0.07849118405440605
SUP_sd,0.058521568969909045
SUP_avg,0.05438718768708371
INC_avg,0.04518498512878129
IND_kr,0.04172443694304566
INF_sk,0.04082626853732683
IND_r1,0.04057985675454947
SUP_r1,0.03451213146986274
SUP_kr,0.033133495231189004
IND_sk,0.02603393073277219
SUP_sk,0.025236879563798404
INF_kr,0.023632826676550707
INC_sd,0.016744152767030115
INC_sk,0.015533323116831126
INC_kr,0.013332163063591753
INF_r1,0.01242511301138719
