Feature,Importance
INF_avg,0.14333593666438105
IND_avg,0.13067012214785842
SUP_sd,0.10634151748692686
INF_sd,0.10241618205450338
INC_avg,0.06657086313242683
INC_sd,0.0532674682356014
INC_r1,0.04661264060396133
SUP_avg,0.044618884499013974
IND_r1,0.04298537078808771
INC_sk,0.034004308615807916
INC_kr,0.03192638502605358
SUP_r1,0.031880784599206284
SUP_sk,0.030046192932378698
SUP_kr,0.02945823998089272
INF_sk,0.02463000367362961
IND_sk,0.01973223644588798
INF_kr,0.017912874486836972
INF_r1,0.01501650086172049
IND_kr,0.014798858598795279
IND_sd,0.013774629166029529
