Feature,Importance
SUP_sd,0.2640046480000159
IND_sd,0.08539158110649604
INC_avg,0.05308573714592669
IND_avg,0.052341411021472446
IND_r1,0.04980104834183551
INC_kr,0.04600951953955627
INF_avg,0.04450258347021708
IND_sk,0.044218866307111686
SUP_avg,0.03890510440174317
IND_kr,0.03858632265516197
INF_kr,0.03628602532555647
INC_r1,0.035975657777991665
SUP_sk,0.03464546990057796
SUP_kr,0.03217194607132232
INC_sd,0.03118166079713633
INC_sk,0.025281738587329138
SUP_r1,0.023884504029721178
INF_sk,0.02259259162857298
INF_r1,0.021093075759051488
INF_sd,0.020040508133203697
