Feature,Importance
SUP_sk,0.19135208475588275
SUP_avg,0.13824036459562394
INF_avg,0.10636467265472735
SUP_sd,0.10116973682035098
INC_avg,0.0626212003904285
INC_r1,0.05015461102984375
INF_sk,0.04726721246749417
INF_r1,0.03553783247886653
INF_sd,0.030089193588705654
IND_avg,0.02983841904762822
SUP_r1,0.029482555896048333
INC_kr,0.028730107802742478
INC_sk,0.02593921742740862
IND_sd,0.025261588705554706
SUP_kr,0.0248287727069576
INF_kr,0.019458287150863653
IND_kr,0.017167306594759187
IND_r1,0.016912729802199343
IND_sk,0.011757320317794766
INC_sd,0.007826785766119454
