Feature,Importance
INC_sd,0.3215082991382174
INF_avg,0.13067187782456757
SUP_sd,0.1263662393069178
INC_avg,0.09861283373349472
INF_sd,0.0881725726699197
IND_avg,0.03947254124630402
SUP_sk,0.03722311969560746
SUP_avg,0.029296035348216155
INC_r1,0.019788246659974414
SUP_kr,0.015112916651225737
INF_sk,0.014246659143686707
INF_kr,0.014013743574167271
SUP_r1,0.01197350066022143
IND_r1,0.011594780525277707
INC_sk,0.009125345166449122
IND_sk,0.009027847413255356
INC_kr,0.007082469293351074
IND_kr,0.006398603137602746
IND_sd,0.005490717297704982
INF_r1,0.004821651513838615
