Feature,Importance
SUP_sd,0.20833344124181286
INF_sd,0.16700398100621627
INC_avg,0.08233765341679876
SUP_r1,0.08013644799388572
IND_r1,0.0761921961288551
INF_avg,0.07155142248193086
INC_sd,0.06523375659016006
INC_r1,0.04563551887767619
INF_sk,0.039077678523895584
INF_r1,0.029893573734441153
INC_sk,0.024774401937097963
IND_avg,0.023283623341667014
SUP_kr,0.018767872211486458
SUP_sk,0.012464077144526839
IND_kr,0.011256777696789209
INF_kr,0.0107350003480126
IND_sd,0.010323182672414149
SUP_avg,0.009786072512039272
IND_sk,0.009189026372486473
INC_kr,0.00402429576780747
