Feature,Importance
SUP_sd,0.18403203358301568
INF_sd,0.15028394948803933
INC_r1,0.0928293602434607
INC_avg,0.08010103778259026
INC_sd,0.06465433038823071
SUP_r1,0.053609227840232476
INF_r1,0.05271767181714037
IND_sd,0.049612192658323596
IND_sk,0.0471629881186737
SUP_avg,0.03915952700937248
INC_sk,0.03497187050500947
IND_avg,0.02794419269559837
IND_kr,0.02765967333538153
INF_kr,0.023683076898549274
IND_r1,0.01997356181364163
SUP_sk,0.016427082042362068
INF_avg,0.011852853670981697
INC_kr,0.008787292120358703
INF_sk,0.007974276699495129
SUP_kr,0.006563801289542867
