Feature,Importance
INF_sd,0.20740058044990725
SUP_avg,0.09832817777221667
INC_r1,0.08240038417286132
IND_sk,0.06743528868104973
SUP_sd,0.06450810807899876
INC_avg,0.06447797159780615
SUP_r1,0.047922241156521855
INC_kr,0.04461420891046526
INF_r1,0.04150310360059951
IND_sd,0.03878008396351818
INF_kr,0.03617590411498351
IND_kr,0.034108011342868685
IND_avg,0.033700205017532736
INF_avg,0.031008713537821305
INC_sk,0.026847291289940206
IND_r1,0.026387500383978395
SUP_kr,0.022190063601509623
INF_sk,0.012216682654464621
INC_sd,0.010708468784910335
SUP_sk,0.009287010888046019
