Feature,Importance
INF_r1,0.23310707090353586
SUP_r1,0.12671532476433092
SUP_sd,0.10327742114346561
INC_kr,0.07871393251128699
INC_avg,0.06843443841225694
INF_sd,0.043973602951656456
IND_r1,0.03660688810593304
IND_avg,0.03591260432255566
INC_sk,0.035511618834649844
SUP_sk,0.03345066241720281
SUP_kr,0.024041810245236342
INC_r1,0.02397103145057697
INC_sd,0.023578692714096215
INF_avg,0.022796657591622145
IND_sk,0.021432774793838906
INF_kr,0.020284037125910023
IND_kr,0.018715906741495966
IND_sd,0.018121631365175934
SUP_avg,0.01603085502226109
INF_sk,0.015323038582912195
