Instance,SBS_Prediction
71,0.37891919730237644
129,0.5012689847454883
22,0.7658387158362422
183,0.6177897213567012
429,0.4753692357946447
64,0.37717381323168275
481,0.36474676223370006
241,0.3809579747540276
281,0.5106149126552715
84,0.683969675778958
161,0.7
103,0.10643905452158958
209,0.09939676069649384
206,0.12734396287483868
244,0.06435609390041713
336,0.11842553440142085
331,0.10569472508979633
0,0.14850481249450367
261,0.09035953389540805
504,0.11263913982714162
407,0.08776366379737427
440,0.12214770616720295
230,0.12099062875262837
430,0.1082834073589595
A,0.1112617867249451
357,0.10510540142429114
202,0.10347868671892185
345,0.09161235772519186
232,0.08711325264435796
127,0.12551629005692028
20,0.10513726533356822
387,0.1042841919809021
67,0.10739502831004807
502,0.12710455792288436
94,0.12239285571772437
74,0.11241195119518921
23,0.10901166125856925
156,0.07565747164284217
394,0.08490651524957854
121,0.13278479310007474
242,0.09695187845085396
80,0.0803782617545149
11,0.10408804052895444
59,0.12778409028602492
179,0.11698619526652539
427,0.11082442646920398
340,0.10257637962685488
137,0.1453645910424863
366,0.13585152465706782
322,0.12703573285019848
81,0.11055099149087842
237,0.10495018740390856
69,0.09638819679146227
239,0.11609307976708054
497,0.10149247710562083
496,0.11676227991124125
92,0.07466279536778955
168,0.10719930494537641
14,0.10990145571548712
367,0.09783990213738472
247,0.11386045681964882
