Instance,SBS_Prediction
71,0.45736151299332
129,0.6332070390823115
22,0.8326069803156868
183,0.5928385863729165
429,0.4912566542053903
64,0.2842115452605225
481,0.4016349342826755
241,0.3313778876434182
281,0.47731220695372806
84,0.593969675778958
161,0.61
103,0.13060890366168046
209,0.14623242937645817
206,0.15087934177213216
244,0.11519350909187638
336,0.18452249336420137
331,0.14042706468143773
0,0.12052955936018594
261,0.10780392751441902
504,0.16225893216995907
407,0.10827029953042967
440,0.14103912812495994
230,0.15437361845672898
430,0.16743800545192442
A,0.12368810895241623
357,0.1624625929247259
202,0.14137584969271624
345,0.11755698128625618
232,0.1214278295058004
127,0.16079155302066336
20,0.13111052738369866
387,0.1149654050697711
67,0.12046067343047927
502,0.1365745602113232
94,0.1576403921276645
74,0.14579368557315692
23,0.14522352545993134
156,0.1651742131129353
394,0.13564512849739707
121,0.14510965835914091
242,0.15810028900121118
80,0.19179698668707798
11,0.17779997468193748
59,0.14622786687957084
179,0.14929527860478764
427,0.17274816611103613
340,0.18909953310106345
137,0.15768662242776896
366,0.18502174932545215
322,0.15417680532335606
81,0.13367774753772232
237,0.13241752553401426
69,0.11290972868801971
239,0.1558112945385419
497,0.1354310590558111
496,0.1373835519257518
92,0.12615307148418892
168,0.14927167853649498
14,0.15640705276136266
367,0.10696987443976794
247,0.15806187941357197
