r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.957,0.869,1.03,0.816,1.117,0.904
50%,0.82,0.995,0.834,1.099,1.079,0.794
25%,0.755,1.028,0.939,0.981,1.204,0.895
10%,0.897,1.111,0.983,1.143,1.101,0.841
5%,0.927,1.155,1.232,1.292,1.121,1.087
